ticker,strategy_type,adjusted_score,score,POP,ROR,consistency_bonus,liquidity_penalty,width_penalty,total_penalty,short_strike,long_strike,underlying_price,expiration_date,DTE,label,status_reason
SPY,bear call spread,73.78,62.78,69.9,52.1,10,0.0,0.0,0.0,675.0,683.0,655.93,2026-05-01,27,High Quality,Qualified because POP (69.9) met or exceeded 60.0 and ROR (52.1) met or exceeded 20.0.
QQQ,bear call spread,72.9,62.9,70.5,51.5,10,1.0,0.0,1.0,606.0,614.0,584.71,2026-05-01,27,High Quality,Qualified because POP (70.5) met or exceeded 60.0 and ROR (51.5) met or exceeded 20.0.
